                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5608,                 6.5984,                0.47403,                  1.908,                 1.3439,                0.79137,                0.77448,                0.81953,                 0.6084,                0.23464,                0.23265,                0.14132,                0.03369,                  1.149,                 4.8849,                0.13997,                0.98325,                 1.1059,              0.0033311,              0.0033311,              0.0033311
                      2,                 1.2135,                 4.9168,                0.24695,                 1.0938,                 1.1179,                0.84281,                0.81555,                0.86414,                0.65595,                0.40042,                0.40055,                0.29159,                0.12743,                 1.0319,                 4.0071,                0.06811,                0.86061,                 1.0496,              0.0064445,              0.0064445,              0.0064445
                      3,                 1.1884,                 3.9615,                0.20015,                 1.0089,                 1.1031,                0.83874,                0.79423,                0.85426,                0.64018,                0.63602,                0.60709,                0.54662,                0.32033,                 1.0959,                 2.8949,                0.04473,                0.88686,                 1.0731,              0.0093379,              0.0093379,              0.0093379
                      4,                 1.1662,                 3.1938,                0.17926,                0.97043,                 1.0921,                0.87757,                0.83725,                0.89985,                0.69349,                0.77069,                0.72354,                0.71392,                0.48226,                 1.0081,                 2.1779,                0.03304,                0.79367,                 1.0378,                0.00901,                0.00901,                0.00901
                      5,                 1.0938,                 2.7301,                0.16271,                0.89698,                 1.0613,                0.89957,                0.86087,                0.91477,                0.72657,                0.83937,                0.79822,                0.80723,                0.60116,                0.91657,                 1.6729,                0.02309,                0.73269,                0.99886,                0.00868,                0.00868,                0.00868
                      6,                 1.0396,                 2.4454,                0.15274,                0.84623,                 1.0403,                0.89893,                0.86793,                0.92293,                0.74376,                0.85373,                0.81714,                0.83832,                0.65456,                0.86836,                 1.5307,                0.01824,                0.70382,                0.97951,                0.00835,                0.00835,                0.00835
                      7,                0.99498,                 2.2642,                0.14593,                0.81044,                 1.0232,                0.91016,                0.87123,                0.92458,                0.75547,                0.86478,                0.82719,                0.84803,                0.68949,                0.83764,                  1.406,                0.01439,                0.67769,                0.96551,                0.00802,                0.00802,                0.00802
                      8,                0.96731,                 2.1392,                0.14027,                0.78577,                 1.0115,                0.92009,                0.88213,                0.93276,                0.77279,                 0.8869,                0.84424,                0.87408,                0.72872,                0.79894,                 1.2735,                0.01069,                0.65407,                0.95302,                0.00769,                0.00769,                0.00769
                      9,                  0.938,                 1.9993,                0.13439,                 0.7623,                 1.0001,                0.92001,                0.88742,                0.93668,                0.78654,                0.88541,                0.85489,                0.88388,                0.75301,                0.77139,                 1.2219,                0.00981,                0.63559,                0.94169,                0.00736,                0.00736,                0.00736
                     10,                 0.9184,                  1.923,                0.13104,                0.74632,                0.99389,                0.91982,                0.89231,                0.93986,                0.79415,                0.88945,                0.86369,                0.88973,                0.76568,                0.74917,                 1.1226,                0.00715,                0.62035,                0.93374,                0.00703,                0.00703,                0.00703
                     11,                  0.896,                 1.8417,                0.12616,                0.72975,                0.98509,                0.93421,                0.89714,                0.94406,                0.80433,                 0.9078,                0.87106,                0.89836,                0.78755,                0.72595,                 1.0513,                0.00644,                0.59523,                0.92553,                 0.0067,                 0.0067,                 0.0067
                     12,                0.87918,                  1.786,                0.12442,                0.71606,                0.97841,                0.93655,                0.89366,                0.94357,                0.80822,                0.91495,                0.87511,                0.90934,                0.80016,                0.71307,                 1.0231,                0.00588,                0.59645,                0.92005,                0.00637,                0.00637,                0.00637
                     13,                0.86502,                 1.7328,                0.12263,                0.70385,                  0.973,                0.94071,                0.90158,                 0.9478,                0.81795,                0.92055,                0.88228,                0.91325,                0.81316,                0.68843,                 0.9377,                0.00641,                0.56944,                0.91285,                0.00604,                0.00604,                0.00604
