10.0,0.9221,-1.878,5.2447,-0.0021,-33.6089,-0.0066,-0.8723,-1.0805,6.6414,-0.0434,-1.0669,5.9376,-1.4278,-1.0884,3.8075,-2.1993,-1.0818,4.3949,-0.8239,-1.8459,6.5416,0.0867,-1.8604,6.0099,-1.3584,-1.8758,3.8953,-2.3044,-1.8343,4.2652,51.0
4.0,3.3118,-1.5361,4.62,-179.5472,85.6913,-179.4593,-3.076,0.6185,4.8653,-3.0545,0.6186,4.7955,-3.5168,0.6185,4.3565,-3.543,0.6185,4.4325,-3.0787,-1.5363,4.8688,-3.0584,-1.5361,4.7973,-3.5196,-1.5361,4.3578,-3.5409,-1.536,4.4353,62.0
2.0,5.5584,-1.4387,3.907,179.9529,-58.8696,-179.9749,-5.5442,-0.559,4.1311,-5.5755,-0.559,4.1702,-5.5623,-0.5593,3.6775,-5.5346,-0.5588,3.64,-5.5441,-1.4386,4.1313,-5.5751,-1.4398,4.1697,-5.5625,-1.4367,3.6775,-5.5347,-1.4384,3.6398,84.0
3.0,2.9138,-1.2303,2.8808,-179.9808,-73.4461,-179.9976,-3.3626,-0.5127,3.446,-2.7774,-0.512,3.5874,-2.536,-0.5129,2.2145,-3.0911,-0.5127,2.1417,-3.3617,-1.2241,3.4473,-2.777,-1.2272,3.5893,-2.5361,-1.2294,2.214,-3.0905,-1.2277,2.1438,85.0
7.0,4.3454,-1.5246,2.7447,-179.5486,-133.033,179.8869,-2.4938,-0.3064,2.9969,-2.5839,-0.306,3.2122,-2.455,-0.3063,3.2413,-2.38,-0.3062,3.0372,-2.4951,-1.5225,2.998,-2.5819,-1.5286,3.2109,-2.4589,-1.5261,3.2457,-2.3807,-1.5314,3.038,84.5
7.0,3.8347,-1.5106,2.6222,-179.5693,-137.4127,179.8897,-1.9806,-0.2938,2.874,-2.0698,-0.2934,3.0862,-1.9454,-0.2936,3.1191,-1.8712,-0.2935,2.9182,-1.982,-1.5085,2.875,-2.0675,-1.5147,3.0852,-1.9491,-1.5122,3.1232,-1.8718,-1.5176,2.919,80.5
11.0,4.7639,-0.875,3.2631,0.0007,25.4897,-0.0009,-4.9774,0.8248,3.0626,-4.1979,0.8249,3.8813,-4.1803,0.825,3.6443,-4.9793,0.8245,2.8459,-4.977,-0.6674,3.053,-4.1892,-0.6671,3.867,-4.1894,-0.6676,3.6427,-4.9795,-0.6675,2.837,110.0
8.0,5.2565,-0.8588,2.2034,0.0119,78.9002,0.0053,-2.8672,-0.7162,3.5144,-2.9632,-0.7168,3.1653,-3.0901,-0.718,3.1873,-3.0025,-0.7168,3.5575,-2.8794,-0.8598,3.5339,-2.9585,-0.8594,3.1513,-3.0811,-0.8571,3.1815,-2.9955,-0.8612,3.5396,71.0
3.0,5.1618,-1.2262,3.2114,-179.9364,-100.3996,179.986,-3.127,-0.5392,1.778,-3.0735,-0.5376,2.1605,-2.2436,-0.5388,2.0572,-2.286,-0.5394,1.724,-3.124,-1.2166,1.7803,-3.0732,-1.2208,2.1658,-2.244,-1.2241,2.0564,-2.2826,-1.2214,1.7287,75.5
7.0,5.3402,-1.521,1.8388,-179.5751,-45.4307,179.9503,-3.3462,-0.3032,3.1998,-3.3728,-0.3026,3.6697,-2.9933,-0.303,3.6358,-2.9797,-0.3028,3.1782,-3.3466,-1.5188,3.2015,-3.3724,-1.525,3.6676,-2.9966,-1.5225,3.6422,-2.9803,-1.528,3.1794,79.5
6.0,3.7732,-0.8603,3.1086,-179.9028,-1.2745,-179.8957,-2.5225,-0.443,2.9294,-2.5191,-0.4381,2.9294,-2.5247,-0.4403,2.9171,-2.5306,-0.4396,2.9175,-2.5228,-0.8608,2.9296,-2.5191,-0.8593,2.9298,-2.5256,-0.8566,2.9178,-2.5304,-0.8622,2.9178,86.5
10.0,1.6617,-1.7902,2.0632,179.9995,-34.196,179.9996,-3.9537,-0.8616,2.6983,-4.455,-0.8574,1.9439,-6.3005,-0.8662,3.1626,-5.8128,-0.8611,3.9412,-3.9628,-1.7706,2.6546,-4.4464,-1.761,1.9648,-6.2738,-1.7684,3.17,-5.7951,-1.7649,3.9373,112.0
