                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5746,                 7.0918,                 0.6686,                 2.3976,                 1.5818,                0.72572,                0.80404,                0.83091,                0.61644,                  0.265,                0.27638,                 0.1777,                0.03384,                0.92212,                 5.4327,                0.52179,                 0.9513,                 1.1251,             0.00027629,             0.00027629,             0.00027629
                      2,                 0.9996,                 5.0969,                0.50197,                 1.1497,                 1.1566,                0.88267,                0.81911,                0.89501,                0.67277,                0.46441,                0.40895,                0.35552,                0.12116,                0.85292,                 4.5158,                0.21876,                0.77216,                 1.0932,             0.00053568,             0.00053568,             0.00053568
                      3,                0.92652,                 4.3815,                0.39754,                0.97519,                 1.1143,                0.87156,                0.85926,                0.90388,                0.73026,                0.52893,                0.50078,                0.44071,                0.24701,                0.73813,                 3.7723,                0.12734,                 0.7028,                 1.0386,             0.00077674,             0.00077674,             0.00077674
                      4,                0.87291,                 3.8601,                 0.3614,                 0.8855,                 1.0835,                0.91389,                0.84221,                0.91994,                0.75323,                0.68288,                0.59651,                 0.5646,                0.33139,                0.68717,                 3.1467,                0.09288,                 0.6531,                 1.0174,             0.00075053,             0.00075053,             0.00075053
                      5,                0.82513,                 3.3993,                0.33178,                0.82722,                 1.0682,                0.92168,                0.84843,                0.92077,                   0.75,                0.74971,                0.69464,                0.67061,                0.40541,                0.70301,                 2.6736,                0.07667,                0.62371,                 1.0193,             0.00072304,             0.00072304,             0.00072304
                      6,                0.80972,                 3.0415,                0.31482,                0.79076,                 1.0599,                0.89575,                0.86739,                0.92562,                0.75965,                0.79166,                0.75565,                0.74252,                0.50495,                0.67825,                 2.1456,                0.06703,                 0.6169,                 1.0085,             0.00069556,             0.00069556,             0.00069556
                      7,                0.79481,                 2.7262,                0.28902,                0.76256,                 1.0512,                0.88241,                0.86921,                0.92686,                0.76518,                0.79156,                0.77294,                0.76721,                0.54222,                0.68026,                 2.0049,                0.06573,                0.62849,                0.99922,             0.00066807,             0.00066807,             0.00066807
                      8,                0.76584,                 2.4993,                0.28247,                0.72564,                 1.0335,                0.92571,                 0.8824,                0.93662,                0.76252,                0.87359,                0.83035,                0.84333,                0.61253,                0.71084,                 1.6287,                0.06127,                0.58175,                 1.0052,             0.00064058,             0.00064058,             0.00064058
                      9,                0.73783,                 2.3445,                0.26918,                0.70933,                 1.0217,                0.93791,                0.89243,                0.94569,                0.81191,                 0.9031,                0.85865,                0.88246,                0.64238,                0.57604,                 1.4122,                0.05407,                0.51368,                0.95605,             0.00061309,             0.00061309,             0.00061309
                     10,                0.71333,                 2.1364,                0.25857,                0.67583,                   1.01,                0.93711,                0.88862,                0.94032,                0.81443,                0.89943,                0.84996,                0.87098,                0.68212,                0.55912,                 1.3354,                0.04856,                0.50099,                0.94843,              0.0005856,              0.0005856,              0.0005856
                     11,                0.70142,                  2.108,                0.24945,                0.66438,                 1.0014,                0.93652,                0.89577,                0.94455,                0.81031,                0.90097,                0.85973,                0.87979,                0.69035,                0.56143,                 1.2339,                0.04881,                0.49713,                0.94862,             0.00055811,             0.00055811,             0.00055811
                     12,                0.68306,                 1.9364,                0.25096,                0.64597,                0.99543,                0.94652,                0.90082,                0.94846,                0.83242,                0.91487,                0.86882,                0.89618,                0.72421,                0.53685,                 1.1815,                0.04599,                0.47729,                0.93533,             0.00053062,             0.00053062,             0.00053062
                     13,                0.66977,                 1.8466,                0.25059,                0.62175,                 0.9918,                0.94343,                0.90291,                0.95132,                0.82989,                0.92077,                0.88049,                0.91182,                0.76017,                0.54019,                 1.0408,                 0.0458,                0.47156,                0.93745,             0.00050313,             0.00050313,             0.00050313
                     14,                0.65698,                 1.8084,                0.24418,                0.61804,                0.98135,                0.93863,                0.90445,                0.94821,                0.83768,                0.92174,                0.88335,                0.91566,                 0.7651,                0.51897,                 1.0075,                0.04728,                 0.4731,                  0.938,             0.00047564,             0.00047564,             0.00047564
                     15,                0.64627,                 1.7844,                0.24085,                0.60441,                0.97968,                 0.9649,                0.90549,                0.95471,                0.84357,                 0.9409,                0.88209,                0.90836,                0.77649,                0.51315,                0.97679,                0.04053,                0.44511,                0.92158,             0.00044815,             0.00044815,             0.00044815
                     16,                0.63525,                 1.6359,                0.23633,                0.58669,                0.97159,                0.97117,                0.89814,                0.95642,                0.84837,                0.95206,                0.87795,                0.91897,                0.79211,                0.50557,                0.90126,                0.04192,                0.42968,                0.91909,             0.00042066,             0.00042066,             0.00042066
                     17,                0.60963,                 1.5855,                0.22733,                0.56692,                0.96096,                0.95909,                0.91213,                0.95793,                0.85452,                0.94059,                0.89377,                0.92317,                0.80998,                0.47899,                0.83599,                 0.0338,                0.42045,                0.91045,             0.00039318,             0.00039318,             0.00039318
                     18,                0.61317,                 1.5846,                0.23041,                0.56878,                0.96512,                0.96703,                 0.9148,                0.95941,                 0.8632,                0.95228,                0.90049,                 0.9291,                0.81729,                0.46174,                0.78472,                0.03422,                0.40628,                0.90164,             0.00036569,             0.00036569,             0.00036569
                     19,                0.59118,                 1.5325,                0.22259,                 0.5622,                0.95796,                0.95366,                0.91222,                0.95826,                0.86493,                 0.9373,                  0.895,                0.92574,                0.81375,                0.44769,                0.80066,                 0.0343,                0.40307,                0.89735,              0.0003382,              0.0003382,              0.0003382
                     20,                0.58478,                 1.4491,                0.22123,                0.54896,                0.95226,                0.96023,                0.91738,                0.95871,                 0.8664,                0.94612,                0.90342,                0.93002,                0.82676,                0.44997,                0.75216,                0.03147,                0.40492,                0.89768,             0.00031071,             0.00031071,             0.00031071
                     21,                0.50435,                0.93135,                0.06614,                0.45591,                0.91293,                0.96243,                0.91699,                0.96177,                0.86522,                0.94298,                0.89757,                0.92313,                0.82366,                0.45554,                0.77405,                 0.0195,                0.40213,                  0.899,             0.00028322,             0.00028322,             0.00028322
                     22,                0.48262,                0.88352,                 0.0657,                 0.4388,                0.91228,                0.95484,                0.91827,                0.96142,                0.87431,                0.94268,                0.90586,                0.93719,                0.84852,                0.43418,                0.68854,                0.01731,                 0.3911,                0.89035,             0.00025573,             0.00025573,             0.00025573
                     23,                0.46328,                0.85862,                0.06175,                0.42066,                0.89695,                0.97017,                0.92045,                0.96571,                0.88148,                0.96034,                0.91078,                0.94954,                0.86331,                0.42614,                0.63508,                 0.0164,                0.36998,                0.88675,             0.00022824,             0.00022824,             0.00022824
                     24,                 0.4485,                0.75798,                0.05884,                0.41192,                0.88867,                0.95699,                0.92905,                0.96304,                0.88089,                0.93527,                0.90761,                0.92212,                0.84746,                0.41726,                0.73849,                0.01573,                0.37091,                0.88312,             0.00020075,             0.00020075,             0.00020075
                     25,                0.44199,                0.74229,                0.05831,                0.40213,                0.88972,                0.96467,                0.92145,                0.96476,                 0.8889,                0.95624,                0.91217,                0.94646,                0.88163,                0.39829,                0.58829,                0.01336,                 0.3652,                0.87838,             0.00017326,             0.00017326,             0.00017326
                     26,                0.42389,                0.69509,                0.05305,                0.38894,                0.87961,                0.95791,                0.93162,                0.96565,                0.89178,                0.94801,                0.92197,                0.94882,                 0.8772,                0.39582,                0.57023,                0.01277,                0.35248,                0.87612,             0.00014577,             0.00014577,             0.00014577
                     27,                0.41087,                0.66996,                0.05879,                0.37666,                 0.8753,                0.96873,                0.92803,                0.96815,                    0.9,                0.96114,                0.92077,                0.95333,                0.88928,                 0.3852,                0.54461,                0.01259,                0.34401,                0.87108,             0.00011829,             0.00011829,             0.00011829
                     28,                0.40128,                0.63807,                0.05259,                0.37208,                0.87166,                0.96887,                0.92924,                0.96774,                  0.899,                0.96467,                0.91844,                0.95303,                0.88146,                0.37662,                0.54044,                0.01169,                0.33964,                0.86845,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     29,                0.39449,                0.60008,                 0.0565,                0.36474,                0.87001,                0.97572,                  0.924,                0.96962,                0.90156,                0.96863,                0.91707,                0.95363,                0.89216,                0.37312,                0.52131,                0.01258,                0.33623,                0.86819,             6.3308e-05,             6.3308e-05,             6.3308e-05
                     30,                0.38147,                0.58787,                0.05308,                0.35809,                0.86563,                0.97286,                 0.9259,                 0.9698,                0.90714,                0.96573,                0.91901,                0.95663,                0.90022,                0.35984,                0.50273,                 0.0121,                0.32667,                0.86246,             3.5819e-05,             3.5819e-05,             3.5819e-05
